date,narration,amount,type
2026-03-01,SALARY CREDIT FEB26,72000,credit
2026-03-02,HDFC HOME LOAN EMI,22500,debit
2026-03-02,VODAFONE IDEA BILL,399,debit
2026-03-03,BIGBASKET GROCERY,3150,debit
2026-03-03,CASHBACK CRED,120,credit
2026-03-04,UBER TRIP DELHI,289,debit
2026-03-04,PAYTM WALLET LOAD,2000,debit
2026-03-05,NETFLIX.COM,649,debit
2026-03-05,AMAZON PRIME RENEWAL,1499,debit
2026-03-06,PHONEPE UPI RECHARGE,555,debit
2026-03-06,IRCTC BOOKING,1845,debit
2026-03-07,DOMINOS PIZZA ORDER,756,debit
2026-03-08,ZERODHA FUND TRANSFER,15000,debit
2026-03-08,FD MATURITY CREDIT,50000,credit
2026-03-09,CRED RENT PAY,20000,debit
2026-03-09,APOLLO 247 CONSULT,800,debit
2026-03-10,FLIPKART ELECTRONICS,8999,debit
2026-03-10,RAPIDO BIKE TAXI,65,debit
2026-03-11,TATA AIA PREMIUM,6000,debit
2026-03-11,DIVIDEND RELIANCE,3200,credit
2026-03-12,SWIGGY INSTAMART,1280,debit
2026-03-12,DECATHLON SPORTS,4750,debit
2026-03-13,OLA RIDE 13MAR,178,debit
2026-03-14,MYNTRA FASHION SALE,3499,debit
2026-03-15,SALARY ADVANCE,25000,credit
2026-03-15,ELECTRICITY BILL MSEDCL,1890,debit
2026-03-16,ATM CASH WDL HDFC,8000,debit
2026-03-17,CAFE COFFEE DAY,450,debit
2026-03-18,UDEMY COURSE,499,debit
2026-03-19,NEFT TO SAVINGS 2,30000,debit
2026-03-20,ZOMATO GOLD,1200,debit
